time	accel_ms2
7.565	-0.041784235
7.57	-0.027472652
7.575	-0.012247938
7.58	0.003057374
7.585	0.018010379
7.59	0.032020825
7.595	0.043588621
7.6	0.050032643
7.605	0.048819151
7.61	0.039728545
7.615	0.025941002
7.62	0.012976712
7.625	0.006053548
7.63	0.007393816
7.635	0.014801497
7.64	0.022420598
7.645	0.023651073
7.65	0.014866803
7.655	-0.002070356
7.66	-0.020334191
7.665	-0.032160838
7.67	-0.033614547
7.675	-0.026271568
7.68	-0.015291262
7.685	-0.005884982
7.69	-0.000505284
7.695	0.001543512
7.7	0.002184128
7.705	0.002722011
7.71	0.003578148
7.715	0.00484058
7.72	0.006681168
7.725	0.00946245
7.73	0.013729899
7.735	0.019984633
7.74	0.028022195
7.745	0.03654734
7.75	0.043632035
7.755	0.047602261
7.76	0.048031606
7.765	0.046121438
7.77	0.043763433
7.775	0.042262101
7.78	0.041827897
7.785	0.04110784
7.79	0.036781172
7.795	0.024534391
7.8	0.001986376
7.805	-0.02842185
7.81	-0.059444482
7.815	-0.082429497
7.82	-0.092020118
7.825	-0.088877492
7.83	-0.078657505
7.835	-0.068327455
7.84	-0.062236574
7.845	-0.060064347
7.85	-0.057539542
7.855	-0.049569323
7.86	-0.033488057
7.865	-0.010202892
7.87	0.0168851
7.875	0.043711639
7.88	0.066845179
7.885	0.084121695
7.89	0.094500733
7.895	0.097242494
7.9	0.091408834
7.905	0.076156846
7.91	0.051421154
7.915	0.018925512
7.92	-0.01680623
7.925	-0.048753129
7.93	-0.069776891
7.935	-0.075848795
7.94	-0.067954859
7.945	-0.051506309
7.95	-0.033875023
7.955	-0.021717788
7.96	-0.018975897
7.965	-0.025852187
7.97	-0.039201681
7.975	-0.054525416
7.98	-0.068359358
7.985	-0.079134306
7.99	-0.086288706
7.995	-0.089180065
8	-0.086819491
8.005	-0.078436441
8.01	-0.06382294
8.015	-0.042685823
8.02	-0.013870087
8.025	0.023755492
8.03	0.068489773
8.035	0.11373025
8.04	0.14930666
8.045	0.16556494
8.05	0.15744184
8.055	0.1266341
8.06	0.081065781
8.065	0.031786119
8.07	-0.011447575
8.075	-0.043547224
8.08	-0.064489935
8.085	-0.077171064
8.09	-0.084768026
8.095	-0.089386291
8.1	-0.092074587
8.105	-0.093027559
8.11	-0.091725789
8.115	-0.087592739
8.12	-0.08111768
8.125	-0.07429992
8.13	-0.06904553
8.135	-0.064128246
8.14	-0.053941724
8.145	-0.031581828
8.15	0.005326435
8.155	0.050977429
8.16	0.092785202
8.165	0.11649536
8.17	0.11226494
8.175	0.079299306
8.18	0.02711103
8.185	-0.027688577
8.19	-0.068351619
8.195	-0.085067227
8.2	-0.078339813
8.205	-0.057183833
8.21	-0.03315969
8.215	-0.013691745
8.22	0.001163115
8.225	0.016781563
8.23	0.038745355
8.235	0.068071565
8.24	0.10021741
8.245	0.12773697
8.25	0.14405959
8.255	0.14639239
8.26	0.13677087
8.265	0.12051528
8.27	0.10206647
8.275	0.081296625
8.28	0.054243612
8.285	0.018249316
8.29	-0.022895781
8.295	-0.058429875
8.3	-0.075919772
8.305	-0.069281562
8.31	-0.043484198
8.315	-0.011820453
8.32	0.012072547
8.325	0.021217562
8.33	0.017344374
8.335	0.007962719
8.34	0.000859124
8.345	-0.000613943
8.35	0.0011252
8.355	0.000483424
8.36	-0.006755392
8.365	-0.020225482
8.37	-0.035180072
8.375	-0.045867903
